Season,Round,home_EOL,away_EOL,home_result
2016,1,71,72,0
2016,1,90,75,1
2016,1,69,56,0
2016,1,63,76,1
2016,1,68,63,-1
2016,1,89,72,1
2016,1,83,76,1
2016,1,72,70,1
2016,2,72,83,1
2016,2,88,72,0
2016,2,76,90,0
2016,2,56,58,1
2016,2,72,67,1
2016,2,75,64,1
2016,2,75,72,0
2016,2,63,89,1
2016,2,70,69,-1
2016,3,70,73,0
2016,3,90,72,1
2016,3,89,67,1
2016,3,57,76,1
2016,3,72,64,0
2016,3,83,57,1
2016,3,69,87,-1
2016,3,72,76,0
2016,3,63,75,0
2016,4,89,72,1
2016,4,72,83,1
2016,4,64,90,-1
2016,4,76,70,1
2016,4,67,64,0
2016,4,75,69,1
2016,4,75,58,1
2016,4,73,87,-1
2016,4,57,72,-1
2016,5,69,75,0
2016,5,58,72,-1
2016,5,72,73,-1
2016,5,69,57,-1
2016,5,64,64,0
2016,5,90,89,1
2016,5,72,67,1
2016,5,83,76,1
2016,5,87,75,1
2016,6,67,90,0
2016,6,89,72,1
2016,6,57,87,0
2016,6,76,57,1
2016,6,75,69,0
2016,6,64,72,0
2016,6,72,63,1
2016,6,75,83,-1
2016,6,73,68,1
2016,7,70,72,1
2016,7,72,75,1
2016,7,57,67,0
2016,7,68,76,1
2016,7,73,57,1
2016,7,83,64,0
2016,7,90,72,1
2016,7,87,75,1
2016,7,63,89,0
2016,8,75,58,0
2016,8,76,73,-1
2016,8,72,73,0
2016,8,74,69,0
2016,8,64,57,0
2016,8,67,70,-1
2016,8,89,87,-1
2016,8,90,83,0
2016,8,73,64,1
2016,9,57,89,-1
2016,9,83,73,1
2016,9,87,72,1
2016,9,69,66,0
2016,9,70,64,0
2016,9,73,75,1
2016,9,58,75,-1
2016,9,73,74,-1
2016,9,63,90,-1
2016,10,72,69,0
2016,10,74,75,-1
2016,10,89,58,1
2016,10,76,74,1
2016,10,67,73,1
2016,10,90,70,1
2016,10,64,87,-1
2016,10,72,57,1
2016,10,63,84,-1
2016,11,75,76,1
2016,11,70,63,0
2016,11,58,74,-1
2016,11,57,90,-1
2016,11,69,64,0
2016,11,74,67,-1
2016,11,72,72,1
2016,11,87,72,1
2016,11,84,89,-1
2016,12,89,69,1
2016,12,72,70,-1
2016,12,90,73,1
2016,12,75,87,-1
2016,12,64,58,1
2016,12,72,76,0
2016,12,63,57,1
2016,12,67,84,0
2016,12,74,74,1
2016,13,58,72,0
2016,13,73,65,1
2016,13,73,64,1
2016,13,75,75,-1
2016,13,71,89,-1
2016,13,88,67,1
2016,13,57,84,-1
2016,13,76,90,-1
2016,13,68,72,1
2016,14,65,75,1
2016,14,72,74,-1
2016,14,89,74,1
2016,14,67,75,1
2016,14,57,71,-1
2016,14,64,88,1
2016,14,90,69,1
2016,14,72,58,1
2016,14,84,73,0
2016,15,68,64,1
2016,15,58,68,-1
2016,15,75,65,0
2016,15,76,72,0
2016,15,71,84,0
2016,15,73,72,0
2016,15,75,89,-1
2016,15,87,89,1
2016,15,74,57,-1
2016,16,64,58,1
2016,16,65,72,1
2016,16,57,73,-1
2016,16,68,74,-1
2016,16,72,75,0
2016,16,84,69,1
2016,16,89,75,1
2016,16,89,73,0
2016,16,71,88,-1
2016,17,75,65,0
2016,17,69,57,1
2016,17,75,68,1
2016,17,73,64,1
2016,17,72,72,1
2016,17,88,84,1
2016,17,57,89,-1
2016,17,75,89,-1
2016,17,73,71,1
2016,18,88,57,0
2016,18,69,73,0
2016,18,76,64,-1
2016,18,72,89,-1
2016,18,74,71,-1
2016,18,65,68,-1
2016,18,75,84,-1
2016,18,74,89,1
2016,18,57,70,1
2016,19,70,69,1
2016,19,68,72,-1
2016,19,64,75,1
2016,19,90,65,1
2016,19,73,87,-1
2016,19,72,75,0
2016,19,84,74,1
2016,19,89,75,1
2016,19,57,58,-1
2016,20,75,64,1
2016,20,72,89,-1
2016,20,88,68,1
2016,20,65,73,0
2016,20,74,57,1
2016,20,73,70,1
2016,20,58,84,0
2016,20,67,90,-1
2016,20,75,72,-1
2016,21,72,90,-1
2016,21,70,75,0
2016,21,57,75,0
2016,21,73,58,-1
2016,21,64,67,-1
2016,21,68,74,0
2016,21,89,65,-1
2016,21,88,74,0
2016,21,84,72,1
2016,22,90,89,-1
2016,22,68,72,-1
2016,22,74,88,-1
2016,22,75,70,0
2016,22,65,64,1
2016,22,72,57,1
2016,22,59,68,0
2016,22,75,84,-1
2016,22,74,72,0
2016,23,64,72,0
2016,23,73,90,-1
2016,23,68,74,-1
2016,23,72,66,-1
2016,23,57,75,-1
2016,23,70,74,0
2016,23,89,67,1
2016,23,85,75,0
2016,23,88,59,1
2016,24,74,72,1
2016,24,59,74,-1
2016,24,66,84,0
2016,24,72,70,1
2016,24,75,68,1
2016,24,67,57,-1
2016,24,72,89,-1
2016,24,90,64,1
2016,24,75,88,0
2016,25,72,75,0
2016,25,87,90,-1
2016,25,57,66,-1
2016,25,64,72,0
2016,25,70,67,-1
